"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 01 10:14:11 UTC 2026","Fri May 01 10:14:14 UTC 2026","3267","tests","Login","Security","","","TC-LOGIN-008: SQL injection in email → no crash",""
"passed","Fri May 01 10:14:17 UTC 2026","Fri May 01 10:14:20 UTC 2026","2231","tests","Login","Security","","","TC-LOGIN-009: XSS in email → sanitized",""
"passed","Fri May 01 10:14:42 UTC 2026","Fri May 01 10:14:42 UTC 2026","68","tests","Login","Edge Cases","","","TC-LOGIN-015: Email whitespace trimming works",""
"passed","Fri May 01 10:14:51 UTC 2026","Fri May 01 10:14:53 UTC 2026","2195","tests","Login","Edge Cases","","","TC-LOGIN-017: Uppercase email handled correctly",""
"passed","Fri May 01 10:14:07 UTC 2026","Fri May 01 10:14:07 UTC 2026","39","tests","Login","UI Elements","","","TC-LOGIN-007: Login page elements are visible",""
"passed","Fri May 01 10:14:30 UTC 2026","Fri May 01 10:14:30 UTC 2026","69","tests","Login","Validation","","","TC-LOGIN-012: Keyboard navigation and Tab support",""
"passed","Fri May 01 10:14:22 UTC 2026","Fri May 01 10:14:23 UTC 2026","1143","tests","Login","Validation","","","TC-LOGIN-010: Email format validation in real-time",""
"passed","Fri May 01 10:14:37 UTC 2026","Fri May 01 10:14:40 UTC 2026","2263","tests","Login","Edge Cases","","","TC-LOGIN-014: Special characters in password accepted",""
"passed","Fri May 01 10:13:38 UTC 2026","Fri May 01 10:13:46 UTC 2026","8224","tests","Login","Negative","","","TC-LOGIN-003: Valid email + wrong password → error message",""
"failed","Fri May 01 10:15:01 UTC 2026","Fri May 01 10:15:03 UTC 2026","2062","tests","Login","Accessibility","","","TC-LOGIN-020: No sensitive data in localStorage/sessionStorage",""
"passed","Fri May 01 10:14:55 UTC 2026","Fri May 01 10:14:55 UTC 2026","25","tests","Login","Accessibility","","","TC-LOGIN-018: Form labels properly associated with inputs",""
"passed","Fri May 01 10:14:58 UTC 2026","Fri May 01 10:14:58 UTC 2026","14","tests","Login","Accessibility","","","TC-LOGIN-019: Page meta description present",""
"passed","Fri May 01 10:14:04 UTC 2026","Fri May 01 10:14:05 UTC 2026","1072","tests","Login","Validation","","","TC-LOGIN-006: Both fields empty → validation error",""
"passed","Fri May 01 10:14:33 UTC 2026","Fri May 01 10:14:34 UTC 2026","1085","tests","Login","Validation","","","TC-LOGIN-013: Form validation clears on user input",""
"passed","Fri May 01 10:15:07 UTC 2026","Fri May 01 10:15:09 UTC 2026","1709","tests","Login","Session","","","TC-LOGIN-021: Login via Enter key on password field",""
"passed","Fri May 01 10:13:26 UTC 2026","Fri May 01 10:13:34 UTC 2026","8279","tests","Login","Negative","","","TC-LOGIN-002: Invalid email → error message",""
"passed","Fri May 01 10:13:49 UTC 2026","Fri May 01 10:13:55 UTC 2026","6140","tests","Login","Validation","","","TC-LOGIN-004: Empty email → validation error",""
"passed","Fri May 01 10:15:13 UTC 2026","Fri May 01 10:15:16 UTC 2026","2474","tests","Login","Session","","","TC-LOGIN-022: Session persists after page refresh",""
"passed","Fri May 01 10:14:00 UTC 2026","Fri May 01 10:14:01 UTC 2026","1178","tests","Login","Validation","","","TC-LOGIN-005: Empty password → validation error",""
"skipped","Fri May 01 10:14:26 UTC 2026","Fri May 01 10:14:27 UTC 2026","1055","tests","Login","Validation","","","TC-LOGIN-011: Password visibility toggle works",""
"passed","Fri May 01 10:15:18 UTC 2026","Fri May 01 10:15:28 UTC 2026","9391","tests","Login","Session","","","TC-LOGIN-023: Logout redirects back to login page",""
"passed","Fri May 01 10:14:45 UTC 2026","Fri May 01 10:14:47 UTC 2026","2173","tests","Login","Edge Cases","","","TC-LOGIN-016: Very long email address accepted",""
"passed","Fri May 01 10:13:21 UTC 2026","Fri May 01 10:13:22 UTC 2026","1628","tests","Login","Positive","","","test_valid_login_redirects_to_dashboard[chromium]",""
