"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3674","TC-UM-045: No member count or pagination shown when filter returns no results","tests","2026-04-30","skipped","2026-04-30","Bug Regression","User Management","",""
"","24993","TC-UM-027: Dating Mode filter → each available option → valid results","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","3593","TC-UM-049: Filter section is properly aligned and responsive at 1280px and 1024px","tests","2026-04-30","passed","2026-04-30","Bug Regression","User Management","",""
"","7345","TC-UM-025: Status filter 'Suspended' → only Suspended users shown","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","3265","TC-UM-014: Search by email → matching results","tests","2026-04-30","passed","2026-04-30","Search","User Management","",""
"","51","TC-UM-047: Page subtitle is user-friendly, not 'Centralized moderation and content management system'","tests","2026-04-30","passed","2026-04-30","Bug Regression","User Management","",""
"","8444","TC-UM-010: Combined filters → filtered results","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","19466","TC-UM-020: Special characters in search → no crash","tests","2026-04-30","passed","2026-04-30","Edge Cases","User Management","",""
"","21","TC-UM-046: Location filter placeholder text is 'Search by location'","tests","2026-04-30","failed","2026-04-30","Bug Regression","User Management","",""
"","14985","TC-UM-029: Status filter 'All' → full user list shown","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","4197","TC-UM-005: At least one user record is displayed","tests","2026-04-30","passed","2026-04-30","User Table","User Management","",""
"","3527","TC-UM-030: Dating Mode filter 'Active' → only Active dating mode users","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","10872","TC-UM-016: Clear search → full list restored","tests","2026-04-30","passed","2026-04-30","Search","User Management","",""
"","9871","TC-UM-043: Different users show different detail content","tests","2026-04-30","failed","2026-04-30","User Detail","User Management","",""
"","2477","TC-UM-015: Search with no match → no-data message","tests","2026-04-30","failed","2026-04-30","Search","User Management","",""
"","4912","TC-UM-004: Table has expected columns","tests","2026-04-30","passed","2026-04-30","User Table","User Management","",""
"","7495","TC-UM-011: Filter producing no results → no-data message","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","10108","TC-UM-028: Clear All button → resets all filters → full list restored","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","6398","TC-UM-036: Pagination previous page navigation works","tests","2026-04-30","passed","2026-04-30","Pagination","User Management","",""
"","6312","TC-UM-038: Detail page email matches list row data","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","140","TC-UM-003: User table is visible","tests","2026-04-30","passed","2026-04-30","User Table","User Management","",""
"","5197","TC-UM-013: Search by name → matching results","tests","2026-04-30","passed","2026-04-30","Search","User Management","",""
"","4","TC-UM-026: Location filter → each available option → valid results","tests","2026-04-30","skipped","2026-04-30","Filters","User Management","",""
"","5678","TC-UM-041: Admin action buttons visible on user detail page","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","196","TC-UM-050: No internal server error on pagination navigation or page refresh","tests","2026-04-30","skipped","2026-04-30","Bug Regression","User Management","",""
"","5456","TC-UM-021: Very long search string → no crash","tests","2026-04-30","passed","2026-04-30","Edge Cases","User Management","",""
"","986","TC-UM-001: Navigate to User Management from sidebar","tests","2026-04-30","passed","2026-04-30","Navigation","User Management","",""
"","20446","TC-UM-051: Location filter returns results for full address and country abbreviations","tests","2026-04-30","passed","2026-04-30","Bug Regression","User Management","",""
"","5673","TC-UM-040: Detail page URL changes from list URL","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","12220","TC-UM-042: Back from detail navigates to user list","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","260","TC-UM-044: Filter dropdown triggers show pointer cursor on hover","tests","2026-04-30","failed","2026-04-30","Bug Regression","User Management","",""
"","9219","TC-UM-018: Detail page shows user info (name + email in detail container)","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","6833","TC-UM-023: Status filter 'Active' → only Active users shown","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","4475","TC-UM-035: Pagination next page navigation works","tests","2026-04-30","passed","2026-04-30","Pagination","User Management","",""
"","30","TC-UM-002: Page heading is visible","tests","2026-04-30","passed","2026-04-30","Navigation","User Management","",""
"","11494","TC-UM-032: Search by user ID → matching results","tests","2026-04-30","skipped","2026-04-30","Search","User Management","",""
"","4387","TC-UM-031: Dating Mode filter 'Inactive' → only Inactive dating mode users","tests","2026-04-30","passed","2026-04-30","Filters","User Management","",""
"","835","TC-UM-052: Dating Mode options show 'Active'/'Inactive', not 'Dating Mode Active'/'Dating Mode Inactive'","tests","2026-04-30","failed","2026-04-30","Bug Regression","User Management","",""
"","4570","TC-UM-033: Table data completeness — all rows have name, email, status, location","tests","2026-04-30","passed","2026-04-30","User Table","User Management","",""
"","6490","TC-UM-037: Detail page name matches list row data","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","7765","TC-UM-039: Detail page status matches list row data","tests","2026-04-30","passed","2026-04-30","User Detail","User Management","",""
"","11819","TC-UM-022: Rapid filter switching → stable","tests","2026-04-30","passed","2026-04-30","Edge Cases","User Management","",""
"","12433","TC-UM-048: 'Clear All' NOT shown when searching by name/ID/email; cancel icon shown instead","tests","2026-04-30","failed","2026-04-30","Bug Regression","User Management","",""
"","3405","TC-UM-034: Pagination is visible on User Management page","tests","2026-04-30","passed","2026-04-30","Pagination","User Management","",""
